verified,suid_nm,unit_nm,county,acres,intrsc_,wtlnd_p,mtchd_r,mtchd_s,Join_Count,index,name,parking,pbtrnsp,dsbldcs,restrms,vstr_ct,showers,pcnc_ar,firepts,cmpgrnd,rv_cmp,sndy_bc,dunes,rky_shr,uplnd_b,strm_cr,wetland,bluff,by_lgn_,urbn_wf,offshr_,inlnd_r,strs_bc,pth_bch,blftp_t,blftp_p,trl_r_p,wldlf_v,swimmng,tidepol,kayakng,fishing,boating
X,13878,San Onofre State Beach,Orange | San Diego,2043.007149,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,4,1430,"San Mateo Campground,Trestles Beach,San Onofre Surf Beach,Bluffs Beach","Yes,Yes,Yes,Yes"," , , ,","Yes,No,Yes,Yes","Yes,No,Yes,Yes","No,No,No,No","Yes, ,Yes,Yes","No,No, ,"," ,No,Yes,Yes","Yes,No,No,Yes","Yes, , ,Yes","No,Yes,Yes,Yes"," , , ,","No, , ,"," , , ,","Yes, , ,","Yes, , ,"," ,Yes, ,Yes"," , , ,"," ,No, ,"," , , ,","Yes, , ,","No,No, ,","Yes,Yes,Yes,Yes"," , , ,Yes"," , , ,Yes","Yes,Yes,No,Yes","Yes, , ,"," , , ,"," , , ,"," , , ,","No,No,Yes,No","No,No,No,No"
,13940,San Diego Bay National Wildlife Refuge,San Diego,1594.245568,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,4,1618,"Living Coast Discovery Center,San Diego Bay NWR - Sweetwater Marsh,South Bay Marine Biological Study Area,San Diego Bay National Wildlife Refuge", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,15910,Beachfront Park,Del Norte,50.1401152,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,4,26,"Crescent City Coastal Trail.Shoreline Campground,Beach Front Park,Northcoast Marine Mammal Center", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,16634,Cabrillo Beach & Marine Aquarium,Los Angeles,51.16311044,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,4,1231,"Cabrillo Fishing Pier,Cabrillo Beach,Cabrillo Marine Aquarium,Cabrillo Beach Boat Ramp", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,28054,Montaña de Oro State Park,San Luis Obispo,10208.95442,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,4,853,"Montaña de Oro State Park,Montaña de Oro State Park (Sand Spit Rd.).,Point Buchon Trail,Morro Dunes Natural Preserve", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,29199,McLaughlin Eastshore State Park,Alameda | Contra Costa,1873.50257,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,4,1656,"Albany Beach,McLaughlin Eastshore State Seashore,Brickyard Cove,Shorebird Park", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,30635,Dockweiler State Beach,Los Angeles,279.1012952,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,4,1166," Dockweiler State Beach (North),Dockweiler State Beach,Dockweiler RV Park", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,1475,China Camp State Park,Marin,1444.448246,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,1675,"Bull Head Flat,China Camp State Park,Turtle Back Hill Nature Trail","Yes,Yes,Yes"," , ,","No,No,Yes","Yes,Yes,No"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," ,Yes,"," , ,"," , ,"," , ,"," , ,"," ,Yes,Yes"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"
X,1529,Emma Wood State Beach,Ventura,123.3004259,park intersects wetland,wetland-park,intersects unknown access pt,intersects wetland access pt,3,1008,"Solimar Beach (South),Rincon Parkway (South),Emma Wood State Beach","Yes,Yes,Yes"," , ,","No,No,No","No,No,Yes"," , ,","No,No,Yes"," , ,","No,No,Yes","No,Yes,Yes"," ,Yes,Yes","Yes,Yes,Yes"," , ,"," ,Yes,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,","No,Yes,No","Yes,No,Yes"," , ,"," , ,","No,No,No"," , ,"," , ,"," , ,"," , ,","No,Yes,Yes","No,No,No"
X,1545,Garrapata State Park,Monterey,2741.35286,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,727,"Garrapata State Park,Soberanes Point,Garrapata Beach","Yes,Yes,Yes"," , ,","No,No,No","Yes,No,No","No,No,No","No, ,","No,No,No","No,No,No","No,No,No"," , ,","Yes,No,Yes","No,No,No","Yes,Yes,Yes","Yes,Yes,Yes","Yes,No,Yes","No,No,No","Yes,Yes,Yes"," , ,"," , ,","Yes,Yes,"," , ,","No,No,Yes","No,No,Yes","Yes,Yes,Yes","Yes, ,No","Yes,Yes,Yes","Yes,Yes,No"," , ,"," , ,"," , ,","No,No,No","No,No,No"
,1568,Humboldt Lagoons State Park,Humboldt,2298.782338,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,69,"Stone Lagoon,Stone Lagoon Visitor Center,Dry Lagoon","Yes,Yes,Yes"," , ,","No, ,Yes","Yes,Yes,Yes","Yes,Yes,No","No,No,No","Yes,Yes,Yes","No,No,Yes","Yes,No,Yes","Yes, ,","Yes,No,Yes","Yes,No,Yes","No,No,Yes","Yes,No,Yes","Yes,No,No","Yes, ,Yes","No, ,No","Yes,Yes,","No,No,"," , ,"," , ,","No,No,No","No,No,No"," , ,"," , ,","Yes,No,Yes","Yes,Yes,Yes"," ,No,"," ,No,"," ,Yes,","Yes, ,Yes","Yes,Yes,Yes"
X,1603,Leo Carrillo State Park,Los Angeles | Ventura,1885.071652,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1060,"County Line Beach,Staircase Beach,Leo Carrillo State Park","Yes,Yes,Yes"," , ,","No,No,Yes","Yes,Yes,Yes"," , ,Yes","No,No,Yes"," , ,Yes","No,No,Yes","No,No,Yes"," , ,","Yes,Yes,Yes"," , ,","Yes,Yes,Yes"," ,Yes,Yes"," , ,Yes"," , ,","Yes,Yes,"," , ,"," , ,"," , ,"," , ,Yes","Yes,No,Yes","Yes,Yes,No","Yes, ,"," , ,","Yes,Yes,Yes","Yes,Yes,Yes"," , ,Yes"," , ,Yes"," , ,","Yes,Yes,Yes","No,No,No"
X,1630,Mendocino Headlands State Park,Mendocino,7542.140414,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,212,"Viewpoint (Lansing St.),Goat Island Overlook,Mendocino Headlands State Park","Yes,Yes,Yes"," , ,","Yes, ,Yes","Yes,No,Yes","No,No,Yes","No,No,No"," , ,Yes","No,No,No","No,No,No"," , ,","No,No,Yes","No,No,No","No,Yes,Yes","Yes, ,Yes","No,No,Yes","No,No,No","Yes,Yes,Yes"," , ,"," ,No,"," , ,"," , ,","No,No,Yes","No,No,Yes"," , ,Yes"," ,Yes,Yes","No, ,Yes","No,Yes,Yes"," ,No,"," , ,"," ,No,","No,No,Yes","No,No,No"
,1646,Morro Strand State Beach,San Luis Obispo,192.6800184,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,817," Morro Strand State Beach (North),Morro Strand State Beach Campground,Morro Strand State Beach (South)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1679,Pigeon Point Light Station State Historic Park,San Mateo,80.77212757,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,534," Pistachio Beach,Pigeon Point Light Station State Historic Park,Pigeon Point Lighthouse Hostel", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1709,Robert H. Meyer Memorial State Beach,Los Angeles,36.04630054,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1067,"El Pescador State Beach,La Piedra State Beach,El Matador State Beach","Yes,Yes,Yes"," , ,","Yes,Yes,Yes","Yes,Yes,Yes"," , ,","No,No,No","Yes,Yes,Yes","No,No,No","No,No,No"," , ,","Yes,Yes,Yes"," , ,"," , ,"," , ,"," , ,"," , ,","Yes,Yes,Yes"," , ,"," , ,"," , ,"," , ,","No,No,Yes","Yes,Yes,Yes"," , ,","Yes,Yes,Yes","No,No,No"," , ,"," , ,"," , ,"," , ,","No,No,No","No,No,No"
,1737,Santa Monica State Beach,Los Angeles,208.9714018,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1135," South Beach Park,Santa Monica Municipal Pier,Santa Monica State Beach,Beach Park Number One,Annenberg Community Beach House", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,1741,Seacliff State Beach,Santa Cruz,113.786307,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,623,"Seacliff State Beach,Seacliff Pier,Rio del Mar Beach","Yes,Yes,Yes"," , ,","Yes,Yes,Yes","Yes,No,Yes","Yes,No,No","Yes, ,Yes","Yes, ,No","No,No,No","Yes,No,No","Yes, ,","Yes,No,Yes","No,No,No","No,No,No","No,No,No","Yes,No,Yes","No,No,No","Yes,No,Yes"," , ,Yes"," , ,No"," , ,"," , ,","Yes,No,No","No,No,No","No,No,","No,No,","Yes,No,Yes","No,Yes,No"," , ,"," , ,"," , ,","Yes,Yes,Yes","No,No,No"
,1995,Van Damme State Park,Mendocino,2408.493478,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,221," Paths to Shoreline / Van Damme State Park,Path to Shoreline (Peterson-Headlands Lane),Van Damme State Park", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,3067,Torrey Pines State Reserve,San Diego,1441.898731,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,1507,"Torrey Pines State Beach,Torrey Pines State Reserve Extension,Los Peñasquitos Lagoon", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,6341,Mount Tamalpais State Park,Marin,6386.156147,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects wetland access pt,3,412,"Red Rock Beach,Steep Ravine Beach,Mount Tamalpais State Park","Yes,Yes,Yes"," , ,","No,Yes,Yes","No,Yes,Yes","No,No,Yes","No,No,No"," ,Yes,Yes","No,Yes,Yes","No,Yes,Yes"," , ,Yes","Yes,Yes,No","No,No,No","Yes,Yes,No","No,Yes,No","No,No,No","No,No,No","Yes,Yes,No"," , ,"," , ,"," , ,"," , ,Yes","No,No,No","Yes,Yes,No"," , ,"," , ,","Yes,Yes,Yes","No,No,Yes"," , ,"," , ,"," , ,","No,No,No","No,No,No"
,12005,Twin Lakes State Beach,Santa Cruz,111.4882869,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,585,"San Lorenzo Point,Seabright Beach,Twin Lakes State Beach - East","Yes,Yes,No"," , ,","No,Yes,Yes","No,Yes,Yes","No,No,No","No,Yes,No","Yes, ,","No,Yes,Yes","No,No,No"," , ,","No,Yes,Yes","No,No,No","No,No,No","Yes,Yes,No","Yes,No,No","No,No,Yes","Yes,Yes,Yes"," , ,Yes"," , ,"," , ,"," , ,","No,Yes,Yes","No,Yes,Yes","Yes,Yes,"," , ,","No,Yes,No","No,No,Yes"," , ,"," , ,"," , ,","No,No,Yes","No,No,No"
X,14195,Cabrillo National Monument,San Diego,157.2883379,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1579," Cabrillo National Monument Ocean Access,Cabrillo National Monument,Old Point Loma Lighthouse", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,14207,Crissy Field,San Francisco,105.4139344,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,3,449,"Crissy Field Beach,Crissy Marsh,Gulf of the Farallones Visitor Center","Yes,Yes,Yes"," , ,","Yes,Yes,Yes","Yes,Yes,Yes","Yes,No,Yes","Yes,No,No","Yes,Yes,No","No,No,No","No,No,No"," , ,","Yes,No,No","Yes,No,Yes","No,No,No","Yes,No,Yes","No,No,No","No,Yes,No","No,No,No","Yes,Yes,Yes","No,No,No"," , ,"," , ,","No,No,No","Yes,Yes,No"," , ,"," , ,","Yes,Yes,No","Yes,Yes,Yes"," , ,"," , ,","Yes, ,","Yes,No,No","Yes,No,No"
,14267,Presidio,San Francisco,1314.010175,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,448," Golden Gate Bridge Vista Point - South,California Coastal Trail (San Francisco),Presidio of San Francisco", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
X,15995,Belmont Shore Beach,Los Angeles,64.13115887,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1264,"Belmont Plaza Olympic Pool,Belmont Shore (Granada Avenue),Belmont Shore","Yes,Yes,Yes"," , ,","No,Yes,Yes","Yes,Yes,Yes"," ,No,","Yes, ,No"," , ,","No, ,No","No,No,No"," , ,","No,Yes,Yes"," ,No,"," ,No,"," , ,"," , ,"," , ,"," ,No,"," , ,"," , ,"," , ,"," , ,","No,No,No","No,No,No"," ,No,"," ,No,","No,Yes,Yes"," ,No,","Yes,Yes,Yes"," , ,"," , ,","No,Yes,Yes","No,Yes,Yes"
X,19795,Heisler Park,Orange,8.475416152,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1374,"Picnic Beach,Heisler Park,Rockpile Beach","Yes,Yes,No"," , ,","No,Yes,No","Yes,Yes,No","No, ,No","Yes,Yes,","No,Yes,No","No,No,No","No,No,No"," , ,","Yes,No,Yes"," , ,","Yes,No,Yes"," ,Yes,"," , ,"," , ,"," ,Yes,"," , ,"," , ,","Yes,Yes,Yes"," , ,","No,Yes,Yes","Yes,Yes,Yes","No,Yes,No","No,Yes,No","No,Yes,No","Yes, ,Yes"," , ,","Yes, ,Yes"," , ,","No,No,No","No,No,No"
,23097,Old Port Beach,San Luis Obispo,64.5477299,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,3,860,"Pecho Coast Trail,Harford Pier,Port San Luis","No,Yes,Yes"," , ,","No,Yes,Yes","No,Yes,Yes","No,No,No","No, ,Yes","No,No,No","No,No,No","No,No,Yes"," , ,Yes","No,No,Yes","No,No,No","Yes,No,No","Yes,No,No","No,No,No","No,No,No","Yes,No,No","No,No,No"," , ,"," , ,"," , ,","No,No,Yes","No,No,No","Yes, ,"," , ,","Yes,No,Yes","No,Yes,Yes"," , ,"," , ,"," , ,","No,Yes,Yes","No,Yes,Yes"
X,25052,Santa Barbara Maitime Museum,Santa Barbara,39.45089694,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,950,"Santa Barbara Maritime Museum,Los Baños del Mar,West Beach","Yes,Yes,Yes"," , ,","Yes,Yes,Yes","Yes,Yes,Yes","Yes, ,","No,Yes,No"," , ,","No,No,No","No,No,No"," , ,","No,No,Yes"," , ,"," , ,","Yes,Yes,"," ,Yes,"," , ,"," , ,","Yes, ,","Yes, ,"," , ,"," , ,","No,No,No","No,No,No"," , ,"," , ,","No,No,Yes","No, ,"," , ,"," , ,"," , ,Yes","No,No,Yes","No,No,Yes"
X,26846,Venice City Beach,Los Angeles,172.6284322,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,3,1148,"Venice Recreation Center,Venice City Beach,South Bay Bicycle Trail","Yes,Yes,No"," , ,","Yes,Yes,Yes","Yes,Yes,No"," , ,","Yes,Yes,No","Yes, ,","No,No,No","No,No,No"," , ,","No,Yes,No"," , ,"," , ,","Yes, ,Yes"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,"," , ,","No,No,No","No,No,No"," , ,"," , ,","No,Yes,Yes"," , ,"," ,Yes,"," , ,"," , ,","No,Yes,No","No,No,No"
